,Overall
year,134.1414885
pagecount,74.31760209
authortotal,30.96243016
ik_study,30.10162321
ophthalmology,22.28054491
ik_rna,18.45133685
ik_priority.journal,16.12152015
ik_image,8.493157264
ik_eye,8.271556022
ik_dr,6.762083041
ik_aged,6.496940276
ik_sensitivity.and.specificity,5.979117079
open.access,5.794164053
ik_analysis,5.561572213
ik_retina,5.15455886
ik_prevalence,5.150148993
ik_adult,4.98522913
ik_female,4.619437386
ik_cat,4.598492854
american.journal.of.ophthalmology,4.593303284
ik_car,4.59244599
ik_cornea,4.52978969
ik_graph,4.481596271
ak_ct,4.103755893
ik_cation,4.081892585
ik_humans,4.057660139
ik_gene,4.022561057
ik_logic,3.97529865
ik_ear,3.755321023
ik_ocular,3.674365806
ik_health,3.563449095
ik_cognition,3.464499664
ik_vision,3.460762368
ik_computer,3.409254868
ik_segmentation,3.335665894
ik_i.p,3.303010162
ik_treatment,3.256518805
ik_ions,3.234942713
ik_patient,3.194426894
ik_major.clinical.study,3.077636288
ik_outcome,3.032359641
ik_hospital,3.002928552
ik_case.report,2.970235859
ik_drug,2.911599336
ik_control,2.889352241
ik_refraction,2.823422991
ak_myopia,2.813911886
ik_son,2.805181072
ik_retinopathy,2.791987027
ik_screening,2.769721863
ik_rib,2.729992764
ik_blood,2.684146797
ik_algorithm,2.652189651
ak_ent,2.540620944
ik_algorithms,2.493135338
ik_child,2.490515677
ik_air,2.461587654
ik_glaucoma,2.445990543
ik_examination,2.396659689
ik_aging,2.38930345
ik_lens,2.388084048
ik_surgery,2.385813964
ik_clinical.trial,2.382370838
ik_laser,2.374182799
ik_coma,2.369574839
investigative.ophthalmology.and.visual.science,2.355841591
ik_accuracy,2.334992616
ik_incidence,2.329900339
ik_health.care,2.303800669
ik_city,2.303314249
ik_tea,2.285782219
ik_review,2.278022039
ik_visual.acuity,2.250852047
ik_adolescent,2.206281054
british.journal.of.ophthalmology,2.204644816
ik_rain,2.201683355
ak_fa,2.194541657
ik_corneal,2.188913112
ik_acuity,2.149520584
ik_medicine,2.135902267
ik_pain,2.134189922
ik_therapy,2.129288897
ik_diagnosis,2.126296007
ak_ear,2.102828662
ik_specificity,2.08515352
ik_protein,2.084306659
ik_myopia,2.063291081
ik_photography,2.050569278
ik_contact.lens,2.036879158
ik_growth,2.03151967
ik_united.states,2.020130694
ik_consultation,2.014395682
ik_regression,1.98928696
ik_sensitivity,1.975567554
ak_us,1.956181231
ik_work,1.952996603
ik_model,1.938814534
ik_physician,1.934415163
ik_pressure,1.93212098
ik_thickness,1.911450557
ak_rat,1.905445099
ik_nan,1.898160609
ik_eye.movement,1.892032854
ik_assessment,1.877468159
ik_cataract,1.876103983
ik_cell,1.87423855
ik_infection,1.873781056
ik_physiology,1.866234461
ik_chin,1.861122278
ik_diabetic,1.858078553
ik_clinical.study,1.85288895
ik_diseases,1.845791092
ik_fovea,1.827054842
ik_ophthalmoscopy,1.799293474
ik_cost,1.792343011
ik_risk,1.778013699
ik_nerve,1.754228042
ik_error,1.750202586
ik_retina.blood.vessel,1.742253259
ik_cancer,1.740228408
fundingB,1.73803569
ik_pupil,1.72746671
ak_vision,1.712650592
ik_retinal,1.711160357
ik_infant,1.70705631
ik_prospective.study,1.703653843
ik_choroid,1.696946485
ik_perimetry,1.692296285
ik_clinical.practice,1.68695219
ik_amblyopia,1.666598298
ik_brain,1.665407448
ik_visual.field,1.662685232
ik_education,1.661371219
ik_rating,1.654720154
ik_follow.up,1.649650659
ik_classification,1.649239199
ik_evaluation,1.645675962
journal.of.cataract.and.refractive.surgery,1.632129072
ik_agents,1.630949424
ik_bone,1.622240939
ik_school,1.621722633
ik_sex,1.610041139
ik_tissue,1.603840678
ik_epo,1.603653191
ik_tomography,1.60272557
ik_fluor,1.587668425
path_abstract,1.579694663
ik_survey,1.578509833
ik_imaging,1.575800104
ik_image.analysis,1.573158901
ik_newborn,1.57221815
ik_microscopy,1.555206119
ak_are,1.549970214
ik_clinical.article,1.541835113
ak_cat,1.525677829
ik_population,1.519434619
ak_corneal,1.515267072
ik_mus,1.50089363
ak_visual,1.494542136
ak_eye,1.490089442
ik_reproducibility,1.475666047
ik_medical.record,1.472371458
ik_cross.sectional.studies,1.463580135
ik_accommodation,1.460377114
ik_cyst,1.438799226
ik_standard,1.43365442
ik_history,1.425968696
ik_performance,1.42435012
ik_macula,1.414017908
ik_research,1.41263477
ik_asia,1.40566559
ik_eyelid,1.400735659
ik_artery,1.393024606
ik_fundus,1.37216277
ik_coagulation,1.370086356
ik_rome,1.356609084
ik_india,1.353359058
ik_controlled.study,1.342404872
ak_clinic,1.341339415
ik_optic.disk,1.332622755
ik_eye.disease,1.330892367
ik_procedures,1.328823364
ak_dr,1.326029008
ik_quality,1.32195542
ik_technique,1.320149457
ik_device,1.317985309
ik_intraocular.pressure,1.317958666
ik_risk.assessment,1.316521967
ik_cataract.extraction,1.307138315
ik_methodology,1.305803962
ik_antibody,1.305462903
ik_disease.course,1.297094181
ik_intraocular,1.289497178
ik_visual.impairment,1.288767058
ik_sclera,1.268981916
ik_tumor,1.264697532
ik_bacteria,1.264101458
ik_medical.society,1.263507919
ik_questionnaire,1.260942819
ik_time,1.246960588
ik_design,1.241127639
ik_movement,1.237430536
ik_pons,1.236089336
ak_rt,1.235401746
ik_binocular,1.233183649
ik_retrospective,1.205924906
ik_diabetes,1.205486986
ik_experiment,1.202694653
ik_open.angle.glaucoma,1.196744101
ik_optometry,1.195301165
ik_ora,1.19017414
ik_measurement,1.186769313
ik_treatment.outcome,1.185988604
ik_blood.vessel,1.185242743
ik_emulsification,1.184236112
ik_middle.age,1.177228848
ik_ophthalmological,1.175064745
optometry.and.vision.science,1.174130594
ik_severity,1.172557437
ik_clinical.feature,1.170260456
ik_practice.guideline,1.167896938
ik_comparative.study,1.163686222
ik_rpe,1.162855049
ik_blind,1.161308203
ik_information,1.159659328
ik_extraction,1.159241465
ik_diabetic.retinopathy,1.158463984
ik_contact.lenses,1.156587179
ik_organ,1.150722414
ik_occlusion,1.149079459
ik_blood.level,1.148632299
ocular_title,1.147342998
ak_af,1.145146424
ik_middle.aged,1.13172856
ik_radio,1.130881283
ik_face,1.128744699
ik_medical.education,1.125343339
ik_hemorrhage,1.124853893
ik_radiation,1.116603884
ocular_abstract,1.114137038
ik_membrane,1.113509275
ik_steroid,1.104310485
ik_referral,1.102974891
ik_aged..80.and.over,1.101713802
ik_reproducibility.of.results,1.099663983
ik_perception,1.098896861
ak_age,1.09877565
ik_safety,1.096422298
ik_controlled.trial,1.093966738
ak_medic,1.093914755
ik_anesthesia,1.084250779
optic_abstract,1.084168576
ik_color,1.083001436
ik_proteins,1.082916007
ik_optic.nerve,1.081975044
ik_edema,1.076988138
ik_health.survey,1.074287546
ik_congenital,1.067962496
ik_weight,1.052768787
ik_plastic,1.044241418
ik_syndrome,1.037293245
ik_parameter,1.034516715
ik_pill,1.028666299
ik_cells,1.024116318
ak_rop,1.018714122
ik_contrast,1.017721728
ik_telemedicine,1.007313221
ik_prognosis,1.004316926
ik_pathology,1.002558712
ik_dry.eye,0.992898587
ik_retina.detachment,0.991375817
ik_phacoemulsification,0.991302719
ik_attitude,0.991124156
ik_genes,0.990992664
ak_surgery,0.985436748
ik_mutation,0.984440968
ik_postoperative,0.979193826
ik_vessels,0.977362079
ik_student,0.976033762
ik_orbit,0.974462854
optic_title,0.97317485
ik_prospective.studies,0.971660623
ik_competence,0.968307063
ik_medical.research,0.96509233
ik_life,0.963908368
ik_development,0.962485776
ik_vision.test,0.957172535
